resourceId,name,area,description,resourceCategoryId,resourceModel,feeScheduleId,order,maxStay,minCapacity,maxCapacity,zoneCapacity,allowedEquipment,Adjacent To,Barrier Free,Conditions,Cooking Facilities,Dogs Allowed,Double Site,Electrical Service,Exposure,Fee Type,Fire Pit,Fire Pit Available,Fire Pit Location,Ground Cover,Number of Tent Pads,Obstructions,Off-Site Vehicle Parking,On-Site Vehicle Parking,Pad Slope,Park-Private,Picnic Table,Privacy,Pull-through,Quality,Restrictions,Roofed Barrier Free,Rooms,Service Type,Shoreline Access,Shower Distance (m),Shower Type,Site Length (m),Site Shade,Site Width (m),Sleeping Configuration,Swimming Conditions,Toilet,Toilet Distance (m),Toilet Type,Water Tap,Water Tap Distance (m),photo1,photo2,photo3,photo4,photo5,photo6
-2147475165,Out of Park - North,North,,-2147483641,2,-32364,8000,,1,9,999,,,No,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2147459710,31 - Norway Lake,Norway Lake,,-2147483641,2,-32736,3310,,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Front Centre,"Soil, Rock(s)",3,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/64899770-2a84-4f91-99d6-2a817b8a15c4.jpg,https://reservations.ontarioparks.ca/images/c25ddd08-baa3-4904-9505-742038b0b346.jpg,https://reservations.ontarioparks.ca/images/b70a680a-6fb0-43ee-9038-da98a9074996.jpg,,,
-2147459709,32 - Norway Lake,Norway Lake,,-2147483641,2,-32736,3320,,1,9,1,,Body of Water,No,Split Level Site,,,No,,West,Regular Rate,Rocks,Yes,Front Left,"Soil, Rock(s)",4,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/6a1b70da-9721-4f14-86d5-0de6c8d819ea.jpg,https://reservations.ontarioparks.ca/images/acbe981f-64b7-4de6-882e-9cd3259de763.jpg,https://reservations.ontarioparks.ca/images/61508445-e533-4566-aaf6-5b9f3e26f538.jpg,,,
-2147459708,33 - Norway Lake,Norway Lake,,-2147483641,2,-32736,3330,,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Front Centre,Rock(s),3,"Rock(s), Tree(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/b6bc66c5-f868-4e74-9ede-44165a3b414b.jpg,https://reservations.ontarioparks.ca/images/112820de-9c0e-4675-8337-489caeb5a17d.jpg,https://reservations.ontarioparks.ca/images/7bcf1335-93d3-47e4-9cb8-1d77654d8692.jpg,,,
-2147459704,61 - O.S.A. Lake,O.S.A. Lake,,-2147483641,2,-32736,3610,4,1,9,1,,Body of Water,No,,,,No,,"North, West",Regular Rate,Rocks,Yes,Centre,"Sand, Soil, Rock(s)",4,"Tree(s), Root(s)",,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - PM Sun,,,"Sandy Beach, Rock Shoreline",,,Privy Box,,,https://reservations.ontarioparks.ca/images/8e5baad0-32e9-417d-ac0c-e3d690b233e4.jpg,https://reservations.ontarioparks.ca/images/7be6dbd3-e598-4efd-bcda-6ca716315f19.jpg,https://reservations.ontarioparks.ca/images/097a0196-ee48-4b51-af8e-58335e241637.jpg,,,
-2147459703,62 - O.S.A. Lake,O.S.A. Lake,,-2147483641,2,-32736,3620,4,1,9,1,,Body of Water,No,Island Site,,,No,,"North, South, West",Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",3,"Tree(s), Root(s)",,,Slight,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/cc573d31-06a7-407b-8426-6bc6542c629b.jpg,https://reservations.ontarioparks.ca/images/a1814805-62d8-4b9c-acd6-49653939e592.jpg,https://reservations.ontarioparks.ca/images/01f0dddb-c451-4c2c-962c-625cd8dda202.jpg,https://reservations.ontarioparks.ca/images/bf8b9c06-ce97-48be-8ca7-9b77b7b575e4.jpg,https://reservations.ontarioparks.ca/images/224f2267-42df-48f0-9b2a-ede752f510a7.jpg,
-2147459702,63 - O.S.A. Lake,O.S.A. Lake,,-2147483641,2,-32736,3630,4,1,9,1,,Body of Water,No,,,,No,,South,Regular Rate,Rocks,Yes,Back Centre,"Soil, Rock(s)",4,Tree(s),,,Slight,Yes,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Partial Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/d532476f-9389-46d4-95c4-948a7f794017.jpg,https://reservations.ontarioparks.ca/images/14be6c43-0ea7-43eb-97c6-d8ed61171c4f.jpg,https://reservations.ontarioparks.ca/images/cee18a67-18f0-4840-9323-9ceec27f850a.jpg,,,
-2147459701,64 - O.S.A. Lake,O.S.A. Lake,,-2147483641,2,-32736,3640,4,1,9,1,,Body of Water,No,Island Site,,,No,,West,Regular Rate,Rocks,Yes,Front Left,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Easy,,,,Full Shade,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/f00f31d7-e299-4f81-b6fd-7d31171029ad.jpg,https://reservations.ontarioparks.ca/images/0c25f455-5832-4ea9-9a97-ba99f77a8a48.jpg,https://reservations.ontarioparks.ca/images/78929b35-102f-480a-8672-e1eceb5be8dd.jpg,https://reservations.ontarioparks.ca/images/17d99228-1a7e-46e1-a75d-1da6befcd03f.jpg,,
-2147459700,65 - O.S.A. Lake,O.S.A. Lake,,-2147483641,2,-32736,3650,4,1,9,1,,Body of Water,No,,,,No,,East,Regular Rate,Rocks,Yes,Centre,"Soil, Rock(s)",4,Tree(s),,,None,,No,Good,,Good,"Tents Only, Generator Free",,,,Moderate,,,,Partial Shade - AM Sun,,,Rock Shoreline,,,Privy Box,,,https://reservations.ontarioparks.ca/images/05bb2896-a3de-4ff4-b407-02d24facc28b.jpg,https://reservations.ontarioparks.ca/images/dec14ba4-16a4-41e2-855b-83024ccb49ad.jpg,https://reservations.ontarioparks.ca/images/4354359e-b447-4bb3-82c9-33f0284b6fb2.jpg,,,
-2147475130,George Lake Access Point - Paddling,Paddling,George Access Point.,-2147483641,3,-32736,4,,1,9,,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
